GeneSymbol,rhythmicity_mm_Heart,rhythmicity_mm_Lung,rhythmicity_hs_Lung,GtexMeanTPMv8_hs_Muscle.Skeletal,GSE38718_gender_hs_sm,GSE123878_exercise_Mm_sm
ACSBG1,0.0,2.29651e-09,,0.141796,,
ACSBG2,1.08577e-10,0.993924,,0.0846085,,
ACSF2,0.22183,17.8615,6.49207,4.59918,,0.259541719046567
ACSF3,0.128131,1.29739e-14,0.174071,2.48649,0.087711069776113,0.172193226029282
ACSL1,0.484113,25.4813,0.972739,8.58587,0.50024389983697,0.382816768538575
ACSL3,,,0.98424,4.18249,,0.357969467752594
ACSL4,0.0,17.2199,0.361033,5.06218,0.259310439867112,0.105214515920325
ACSL5,1.30533e-09,1.87678,1.80163,1.65182,,0.0876517734212371
ACSL6,2.43898,1.12581,,0.936548,0.0189319299330282,0.210876591721084
ACSM1,0.0,5.96405,,0.227548,,
ACSM2B,,,,0.0244855,0.0055094696464417,
ACSM3,5.84716e-07,0.0,1.41655,0.229234,0.0780677540844792,0.232266532052094
ACSM5,0.0515493,6.4485e-13,0.749909,2.77411,0.499467704723081,
ACSS1,0.605575,4.16216,5.55208,4.15933,0.100145003291379,0.230232861862757
ACSS2,0.00298953,0.0217028,1.21377,6.07366,,0.481902895302265
ACSS3,0.815209,4.7041,4.1875,1.5182,,0.0146990454059253
ACTA1,3.14576e-13,0.0,0.59278,15.1353,,0.0037919379418921
ACTA2,0.0,8.25231,3.60888,6.09249,0.650106580969677,0.626126107743872
ACTA2-AS1,,,12.0919,2.22359,0.0204657893659408,
ACTB,13.1132,4.48969,0.630335,8.85369,0.298164133894916,0.117846823331062
ACTC1,0.0,0.710612,,7.2777,0.955324160101981,0.98832047716189
ACTG1,4.49059,2.73655e-09,0.00723856,8.08225,0.334831493607396,0.140202260044355
ACTG2,0.0,2.97446,1.33033,2.76066,0.489185081772381,
ACTL10,1.45494e-08,7.01872e-05,,0.265387,,
ACTL6A,2.35979,0.025187,1.84294,3.26827,,0.0843924034036523
ACTL6B,5.47406e-10,1.38182e-07,,0.0365771,0.0033925937514061,
ACTL7A,3.67745e-09,4.00938e-09,,0.105416,,
ACTL7B,0.0,0.288725,,0.0563993,,
ACTL8,,,,0.00931047,0.12715572929537,
ACTL9,3.42097e-07,1.73203,,0.0476993,0.0936317743714792,
ACTN1,0.0,16.6708,0.0783871,3.70522,0.429321574575787,0.166322209745911
ACTN2,1.62563e-11,0.339173,20.0721,10.4415,,0.947788831726614
ACTN3,,,,7.91071,,
ACTN4,1.16723e-09,9.67694,5.56803,5.38001,,0.074856537654339
ACTR10,1.44154e-15,0.00100912,0.274499,4.65247,,0.0636669489304883
ACTR1A,1.05815,0.162826,0.957789,6.68709,,0.0597349360311347
ACTR1B,4.01678,2.63771,2.5403,5.97781,0.079621402481437,0.31689825814387
ACTR2,1.34936,0.0,1.56832,5.29273,,0.0929984482111774
ACTR3,0.46338,4.95786,2.80106,3.90279,0.0776404380643636,0.0629229121352618
ACTR3B,12.7876,5.87334,0.686134,3.24864,0.100121441540557,0.480336362351525
ACTR3C,,,,0.175729,,
ACTR5,0.0312184,3.36024,1.43078,2.89886,,0.377117057158217
ACTR6,0.0,1.60573,0.911953,2.94319,,0.0767647483940868
ACTR8,0.791015,1.22937,1.5947,2.62982,0.0623084248197792,0.121355809810514
ACTRT2,1.19524,1.41418,,0.0619695,,
ACTRT3,0.789745,0.922508,,0.713121,,
ACVR1,5.28361,0.791246,0.255075,3.30153,,0.0305907551708358
ACVR1B,0.79979,23.4317,1.09867,3.33586,0.0162087353440192,0.318767850684696
ACVR1C,0.24402,2.07277,,0.72929,0.509963935456195,0.0004925107991591
ACVR2A,7.84025,3.43526e-10,0.0746047,2.1642,,0.283900094539385
ACVR2B,1.05393e-13,0.458314,4.53541,1.75244,,0.462868139615178
ACVRL1,4.8827,0.846761,1.11164,3.11214,,0.0289004907109955
ACY1,8.25989,4.11941,1.00741,4.0372,0.0190608906493166,0.0673772625001961
ACY3,0.0,1.03085e-07,,0.0252613,0.133031921169918,0.639446402031676
ACYP1,0.0,1.00371e-08,0.0594689,3.13799,0.1418344126325,0.196650852010654
ACYP2,0.000287009,0.0,1.26536,4.52527,,0.237932049913787
ADA,0.0,0.0,0.591308,2.22766,0.2119219770248,0.361736206489365
ADA2,,,0.143448,1.42064,,
ADAD1,0.0,4.38677e-06,,0.034491,0.0470479873909673,
ADAD2,0.0,1.78198e-06,,0.242683,,
ADAL,0.825499,1.04669,0.452369,2.93972,0.104200444566485,0.229880812903652
ADAM10,0.0240749,1.31547e-09,0.540384,2.14705,0.0369657699446111,0.109745189153837
ADAM11,1.89219,0.0,,0.410668,0.153306521602893,0.0197230255884992
ADAM12,0.0,1.56814,,0.169065,0.176597615245606,
ADAM15,0.341864,5.29925e-10,1.25594,4.44696,0.0400874516845029,0.147556139850685
ADAM17,3.47316,25.6787,0.489181,2.72687,0.0290718265835972,0.372273802818773
ADAM18,0.0,0.00299916,,0.00399777,0.0245434052680173,
ADAM19,35.6316,5.70609e-09,0.121941,1.55469,,0.206180557498632
ADAM2,0.0973524,0.393135,,0.0101997,,
ADAM20,1.01978,4.712e-05,,0.11733,,
ADAM21,1.47787,0.0,,0.274297,0.0958432072393363,
ADAM22,11.9896,0.512892,,0.457377,0.0112080135806938,0.287700523203231
ADAM23,1.66403e-08,12.2425,,1.89798,0.260583995895785,0.0893632016364303
ADAM28,0.0,11.9469,0.0443572,0.184274,0.0531117210460605,
ADAM29,0.0,4.38833,,0.0121458,,
ADAM30,1.08358,1.44154e-15,,0.0151936,0.0833571250371317,
ADAM32,0.0,7.44671e-08,,0.293087,0.118848818996874,
ADAM33,0.0952521,0.0,6.56802,2.95922,,0.399880902407588
ADAM3A,,,,0.0124558,0.042378700424448,
ADAM5,,,,0.014011,,
ADAM7,5.80237e-07,0.0572577,,0.00386877,0.0684125929755526,
ADAM8,0.0296291,5.28185,0.918395,1.06432,0.0242317368812577,0.456091705903861
ADAM9,2.775,5.78048,0.0144948,3.85349,0.0246684991596755,0.160173239650603
ADAMDEC1,0.0,4.91281,,0.0727173,,
ADAMTS1,1.19159e-07,14.0497,1.35498,5.56299,,0.857434712030042
ADAMTS10,3.19352,2.19186,6.55654,2.09423,0.128558102119709,0.0301846177676293
ADAMTS12,11.3195,27.671,0.282646,0.487862,,0.0620312577288291
ADAMTS13,3.36505e-06,8.59054e-06,23.6473,1.67018,,
ADAMTS14,0.0,1.44451e-07,1.89467,0.196774,0.0101001324186001,0.0580786709892771
ADAMTS15,4.89879,12.0479,0.978357,1.36555,0.140382386300374,0.454300951460881
ADAMTS16,0.0,0.0,,0.131658,0.0997783999480562,
ADAMTS17,3.96744e-12,28.5663,,2.37239,0.071510593666436,
ADAMTS18,0.0,0.216189,,0.0663741,0.07774790795759,
ADAMTS19,2.84837e-10,0.215756,,0.436377,0.236564200216059,
ADAMTS2,0.0,3.62894,0.422465,1.34509,0.0577750124316907,0.14729214897079
ADAMTS20,0.0,0.0,,0.013243,0.0463077784511152,0.0828984435194779
ADAMTS3,2.361,4.99904,,0.274416,0.0129896876885418,0.469212574770525
ADAMTS4,5.49743,6.3364,1.6013,2.99997,0.0957250805823167,
ADAMTS5,5.98883,7.19188,,1.56823,0.314362452205382,0.185207289250555
ADAMTS6,0.0,19.1968,,0.155233,0.0955018931817819,0.231603365413282
ADAMTS7,8.44981,0.79516,1.68399,1.05105,,0.496616184414617
ADAMTS8,2.82337,13.5832,1.80186,0.589171,0.106594840486955,1.01949873252878
ADAMTS9,14.0342,0.573057,3.95938,2.87367,0.0227655754363063,0.298257952357101
ADAMTS9-AS2,,,,0.441748,0.152999074150742,
ADAMTSL1,0.0,0.73204,,0.1669,0.0166586405352418,0.185850101069255
ADAMTSL2,2.54364e-06,0.288377,0.39857,1.69664,,0.488258969184607
ADAMTSL3,4.65886,2.36157e-06,5.35242,1.05189,,0.0530332590158035
