GeneSymbol	log2FC
Atl2	0.306871594206485
Cenpb	0.00456411675967643
Usp47	0.0137005778422824
Vegfa	0.0228184758179394
Trip10	0.257577914977639
Tmem242	0.00704552302705039
Ube2r2	0.239854390920973
Ppm1a	0.0936250783134485
Fam162a	0.0422654961602581
Psme4	0.236919961851557
Psma4	0.0190241005085796
Rpl39	0.0247688707635485
Usp13	0.216007234390182
Fech	0.145351053848758
Chmp4b	0.215097721770623
Rps19	0.0740719487027715
Mrpl53	0.132315092792825
Nrd1	0.0307289136726729
Foxo4	0.261965578308343
Clip1	0.391880349001228
Mettl22	0.214552819710716
Kcna7	0.0341510245664053
Aldh6a1	0.140843678360891
Ank	0.0560610494673136
Psmc1	0.00251947795324435
Rad23a	0.196316962648497
Bckdk	0.239946074744051
Snrpd3	0.0806933567064487
Snx3	0.0921778960099096
Serinc3	0.238127432694792
Hdlbp	0.0876259021292696
Phb2	0.0876330644703903
Mrpl18	0.146883753259877
Klhdc2	0.0616004534774147
Tnnc1	0.751011489778042
Tspan3	0.219847807080401
Cdc42	0.103694330305061
Psmd12	0.0317517166435888
Tcp1	0.0491694580167346
Gstm5	0.236720646454111
Thap12	0.187383853109908
Map4	0.040825030882503
Tnnt1	1.28737687862402
Fis1	0.0848885761613604
Ppp2ca	0.141675286379387
Rps7	0.0616768417226582
Cops6	0.0762469072405427
Me1	0.417345873933232
Camk2g	0.189129050676278
Psmb3	0.0396037734197773
Aimp1	0.116122083416592
Psmd1	0.0769408511008183
Csnk1a1	0.1050005232329
Cav1	0.0683640750779395
Mrpl14	0.213168020231345
Hhatl	0.245221194717604
Dnajc15	0.0131407034061356
Plcd4	0.0367054905848411
Strn3	0.0605717160487753
Ubxn2a	0.336489514369388
Bzw2	0.0461492129448794
Cuedc1	0.0894872215300005
Rpl35a	0.115065079626703
Herpud1	0.375016509407151
Mff	0.120657894749558
Emc2	0.0757494578691506
Hspa5	0.243795116059558
Ufc1	0.158126014656281
Rab1b	0.0178333430660095
Sod2	0.0562607705552869
Vegfb	0.104582204562028
Map2k3	0.353653226957352
Ubc	0.147328811243719
Rpl21	0.126691343280365
Rpl38	0.0729468469539107
Fbxo32	0.150832077078768
Klhl31	0.113148047813401
Cope	0.109073491671288
Pebp1	0.132914783668293
Ensa	0.095894317563816
Mbnl1	0.42400489549642
Raf1	0.126000307227108
Rragd	0.154094294764989
Eif4b	0.27531934276162
Lrrc14b	0.263036648277634
Sgcg	0.0739279703509663
Lynx1	0.169095084638922
Abra	0.611368495297358
Mtln	0.0802333925621645
Rbm24	0.272543633341396
Aldh1a1	0.403978235726466
Sirt2	0.09757324445881
Ubac1	0.0523898863924083
Hspb2	0.0218727602768622
Ndufv3	0.0594349248087296
Clcn1	0.0569970894534843
Capn3	0.0596891313874255
Slirp	0.0585689592597649
Pdcd5	0.0745551889569339
Fkbp4	0.00947361465733306
Btf3	0.131796756238542
Tacc2	0.0793694639179
Psmc4	0.0792133911960955
Col3a1	0.38164693254468
Hk2	0.0557953633494635
Banf1	0.158010772700684
Ghr	0.174140611017178
Dag1	0.0952983952278816
Map2k2	0.206825016518164
Ddrgk1	0.242634116359142
Akt2	0.148991045419832
Ank1	0.13742136422939
Cd164	0.276157469953635
Atp6ap1	0.0994595400957535
Iscu	0.0763781016649422
Msrb3	0.330156399288263
Slc37a4	0.231278315251292
Bpgm	0.250181762553705
Coa3	0.0128835251602219
Card19	0.0802888150962261
Psmd3	0.0167905244000929
Synpo2	0.0863863899924005
Psma1	0.0381393485962818
Pdlim5	0.139786331655646
Reep5	0.234226733225066
Thbs4	0.102301321707825
Atg9a	0.164987788423028
Arl3	0.404717028136722
Synpo2l	0.0929581359287171
Mrps18a	0.0901152669730383
Tprgl	0.148239041429514
Ecsit	0.0490629771523281
Neat1	0.305433676585045
Grcc10	0.0546554415262323
R3hdm4	0.205220484596026
Fkbp8	0.114236857143934
Ddb1	0.130392656247096
NA	0.210769470665427
Eloc	0.165500305366305
Nfs1	0.036596512881429
Clu	0.02951168706114
Uaca	0.205585862543997
Actr1b	0.31689825814387
Mrpl51	0.0256056215446864
Ide	0.0416152170884685
Mrps28	0.133184689940394
Ube3b	0.0398136174944095
Stradb	0.0412328601461875
Tmem52	0.124594087021016
Rpl29	0.0405584289546538
Epdr1	0.0424647695665495
Cab39	0.0529646401321462
Taldo1	0.0379511970965115
Smpdl3a	0.303699589651792
Atp1b1	0.499680700434365
Asb10	0.461817003041657
Atp6v0b	0.138087215919489
Cct2	0.0162844906560029
Spcs1	0.100587026048744
Tsc22d3	0.641681116802063
Pabpc4	0.0672831116166306
Rps10	0.0840893212340619
Cacnb1	0.0152012784707067
Jtb	0.0737888532927263
Poldip2	0.0013949108066275
Stard7	0.232015702437582
Lamtor1	0.0686658417242076
Pcbp2	0.131841181495073
Dbp	0.465938217052493
Rps16	0.118125448028492
Uqcc1	0.060685731560178
Cd81	0.148089224639725
Rgs5	0.227570804166598
Csnk2b	0.234502151246197
Fam131a	0.648869856141146
Eprs	0.0842841383257496
Eif2s2	0.385442298318175
Sar1a	0.12169047396631
Cwc15	0.204985553160949
Fmc1	0.042281598946367
Padi2	0.0564324963093717
Vim	0.00138838126082154
Lmcd1	0.616254144800319
Abcf2	0.141302860384168
Srsf5	0.195585605209753
Trim35	0.223835910736777
Nek9	0.0941874467194289
Nudt3	0.295237946988364
Lamtor2	0.288304767526125
Mef2d	0.0277846863384799
Rps28	0.0869771267977916
Glul	0.670434938409799
Hspb1	0.45066288386788
Eef1b2	0.0487040259558393
Romo1	0.01464649943691
Bag3	0.317584926567511
Rab28	0.0200213752867059
Rer1	0.126665892692021
Npepl1	0.14557893789408
Ddx1	0.0849678153989736
Rtraf	0.185352555956758
Cct8	0.0833480365417911
Dctn2	0.0625865574792934
Cct6a	0.0239579688793787
Eif5	0.245026702343574
Rcsd1	0.0341164262324144
Ppp2r1a	0.0332509556514818
Tspan7	0.0216617338713869
Cdk16	0.053436952762745
Zfand3	0.225273338175017
Arfgap2	0.21442850740446
Eif3k	0.129618377696892
Mtch2	0.0177347947404142
Ctsl	0.00167016390625682
Ppp1r14c	0.291592910134928
Nenf	0.0711772711070134
Hoxc10	0.139058719498024
Hypk	0.0464245278482434
Dele1	0.020458540541461
Commd1	0.0287951611645886
Sgk1	0.392254284967403
Ankrd2	1.18602050112778
Prkar2a	0.0663592464166646
Col1a1	0.0354053152330559
Mfn1	0.0813107661773775
Arl1	0.267493532926938
Myf6	0.454034389911856
5430431A17Rik	0.304109392894501
Chmp2a	0.04064680686333
Man2a2	0.22947308445167
Zfand6	0.0556237780848519
Stat5b	0.166368635953091
Myadml2	0.0418606168097599
Oaz2	0.06834501361085
Cops8	0.151198131708149
2310002L09Rik	0.0263329908490552
Tcf25	0.0514594212875858
Pmpcb	0.119720977487574
Rpl22l1	0.054679760657258
Kcnj11	0.110636688578763
Hacd1	0.190780662727558
Rex1bd	0.230018116476403
Slc41a3	0.0709078380672634
Ubr3	0.148709583161391
H1f0	0.0813034351577759
Rpl5	0.09017201585661
Kpna3	0.132252958074128
Aldh4a1	0.0337922832593761
Spag7	0.077107934572684
Hnrnpk	0.0551060333406759
Sgta	0.0852221994742885
Svil	0.0827047092719106
Myo18b	0.254523140816043
Snrnp27	0.1004583336696
Cd63	0.25564922691249
Eif1ax	0.144535359898584
Plec	0.0715178316046401
Igfbp7	0.0816688258909728
Camk2b	0.167355839629543
Rpl31	0.0396522969640803
Amfr	0.019381664319889
Gstp1	0.18074063366425
Mrps7	0.023727640321907
Tmem65	0.252209586242753
Myoz2	1.41094171601183
Htatsf1	0.190587507778359
Rnf7	0.112613122958637
Gfm1	0.100873509701015
Hcfc1r1	0.205286238625577
Cbfb	0.491066085387416
H2-K1	0.133134888326074
Cd151	0.0673786397477973
Oip5os1	0.0547016116582835
Ppp1r3a	0.503673619591211
Mrps23	0.207332778182416
Spg7	0.230695078544529
Ccdc124	0.197061986225762
Bccip	0.174389427680363
Serpinf1	0.180826194921451
Fkbp1a	0.0744511325421386
Rbfox1	0.379526633668765
Acacb	0.0821681021471999
Wbp2	0.333341681316419
Exoc7	0.185759764486814
Ccdc91	0.344814723771477
Tigar	0.71767211237339
Neurl1a	0.0136104066178969
Hif1an	0.113442827091119
Psma3	0.208965056223922
Eif3c	0.0467154918244249
Klhl40	0.50262441176941
Riok3	0.176723195428798
Napa	0.183424241173431
Nars	0.0205928477683889
2310065F04Rik	0.769435162294381
Grsf1	0.00643326931110097
Rpl10a	0.121109663556549
Mrpl2	0.00838961628308316
Asnsd1	0.0688684170431777
Cmbl	0.113063224544924
Asb8	0.0718844299882949
Gpd2	0.496512302398929
Hnrnph1	0.170903539883886
Itgb1	0.213089097740415
Ktn1	0.0679975355292528
Mrpl37	0.00474181015029477
Cav3	0.0569048166948249
Snapin	0.073961018468613
