Gene Name	g8_g7.log2foldchange
COL9A2	0.9
KITLG	2.6
ERCC8	0.7
ADAMTS6	0.2
H6PD	1
VAMP3	0
PER3	1.4
UTS2	0.4
TNFRSF9	1.7
EPN3	1.3
LTBP1	1.9
RCN1	1.5
ELN	3.4
RFC2	0.7
ARID1B	0.7
CLPTM1L	0.1
NEDD4L	0.3
FOXP3	1
PPP1R3F	0.4
HEXB	0.4
PTCD2	0.6
NEXMIF	2
JKAMP	0.2
DKK3	1
ARHGEF5	0
NFE2L3	0.6
MCUR1	1
LIMA1	2.3
LETMD1	0.2
SLC4A8	1.8
LAMC3	1.6
PTGER3	2
TNIP3	1
MAPK9	0.1
COL23A1	0.8
BCAR1	4.7
FAM160A2	0.7
HERPUD1	0.3
HOMER3	0.4
RAD51	1.6
POLQ	2.4
PIK3CB	0.4
CYBA	0.4
THOC3	0.8
HEBP2	0.5
MPHOSPH9	0.5
PLEKHA5	3
PRSS8	0.5
SIKE1	0.3
RRP12	0.9
FNIP2	3.6
MSMO1	1.5
TTC17	0.7
ALX4	0.7
FSTL4	1.5
FOXN3	0.6
METTL24	0.3
AKR7A2	0.6
MRTO4	0.8
NNAT	0.1
USE1	0.6
MCF2L2	2.6
NRIP2	1.2
LAMA3	2.8
AP5M1	0.7
ANAPC4	0.1
KCNQ1	0.6
TRAPPC3	0.8
THRAP3	0.1
PHPT1	1.5
ENTPD2	2.5
LY75	0.1
ARID4B	1.2
OPN3	0.2
SDCCAG8	0.7
PTPRN	2.9
HHAT	0.3
KIF1B	1.1
FOXC1	0.5
TBC1D22A	0.9
SYNE2	0.6
PLEKHH1	1.4
ATP9A	0.4
SPO11	0
CBLN4	0
CHRDL2	2.8
FAM168A	0.8
RELT	1.9
GALC	0.6
NOP58	0.3
SZRD1	0.7
KCNH2	0.7
CUL1	0.2
FAM114A2	0.3
CYFIP2	0.4
TAB2	0.8
GINM1	0.7
EIF2AK2	1.8
AC022966.1	0.5
KMT2C	0.8
MCOLN3	3.3
CCDC85A	0
PUM2	0.4
MRPL43	0.3
ITIH4	0.3
ITIH1	1
HPF1	1.4
ZFR	0.2
ZNF280C	0.6
NPFFR2	1.7
PHF21B	1.9
TRAF1	0.6
RC3H2	0.6
IL17RB	0.7
TRAF3IP2	0.3
GYG2	0
DCBLD2	1
SERPINB3	0
SOAT1	0.9
PKP2	1.9
MSH4	0.9
F7	1.4
GDI2	0.1
PRDM1	1.9
ATG5	0.7
TMCC3	0.1
PITHD1	0.2
MTA3	0.6
USP13	0.8
ATP11B	0.1
LAMC2	2.8
CDK14	0.1
SEC61A1	1.3
PPP1R12A	0.3
RASGRF1	0.9
CAMK2B	1.3
CROCC	0.6
POLR3E	0
ATP2B4	0.7
ZC3H11A	0.1
RIOK2	0.7
YIPF1	0.4
NDC1	1.2
DGKG	0.3
FLYWCH1	0.6
UNKL	0.8
TBXAS1	1.8
PARP12	0.5
ALDH18A1	0.9
TARBP1	0.3
GATB	0.7
MXD1	0.2
CDK17	0.3
DNAJC25	0.1
SLC2A3	2.4
PSD	0.7
CTDP1	0.1
YBX3	0.3
STYK1	2.8
WNK1	0.5
RPS17P5	0
CCAR1	0
OGFR	0.4
GNA15	2.7
CREB3L3	1.9
PIGV	0.3
PTPRU	3
SNRNP40	0.9
RIMBP2	3.6
COL11A1	3.7
QSER1	0.3
MPC1	1.2
ACAA1	0
BCAT1	1.2
HDAC7	2.1
LZTS1	1.4
